iter	RMSE
769	219.3702884
770	219.3521287
771	219.3512402
772	219.3414587
773	219.3398814
774	219.3191201
775	219.3118433
776	219.3009849
777	219.2994347
778	219.2987289
779	219.2916934
780	219.2915049
781	219.28549
782	219.2842986
783	219.2832464
784	219.2659553
785	219.2622297
786	219.2060464
787	219.2042944
788	219.2039471
789	219.1998184
790	219.1764761
791	219.1613154
792	219.1604965
793	219.1397353
794	219.1393386
795	219.088034
796	219.0812498
797	219.0673009
798	219.0654302
799	219.0646413
800	219.0198292
801	219.0105052
802	218.970677
803	218.9681151
804	218.9634785
805	218.9627404
806	218.9522202
807	218.5208464
808	218.5129495
809	218.5068499
810	218.5043396
811	218.4970106
812	218.4846206
813	218.4337304
814	218.43211
815	218.4256612
816	218.4200075
817	218.4175633
818	218.4106868
819	218.4101224
820	218.4048631
821	218.3848427
822	218.3839155
823	218.3763447
824	218.3668696
825	218.3551404
826	218.3542854
827	218.3513869
828	218.3058859
829	218.2758669
830	218.2752393
831	218.2739644
832	218.2732656
833	218.2672134
834	218.2642021
835	218.2553427
836	217.8862497
837	217.5678047
838	217.5664665
839	217.5483927
840	217.5369053
841	217.500862
842	217.5001353
843	217.419946
844	217.41783
845	217.4067342
846	217.4029256
847	217.4022547
848	217.4011739
849	217.3549024
850	217.3544206
851	217.35317
852	217.3409504
853	217.3345447
854	217.3271818
855	217.3182163
856	217.3152089
857	217.3139282
858	217.3050105
859	217.2983631
860	217.1272297
861	217.1105938
862	217.1098049
863	217.1087301
864	217.1080802
865	217.0966388
866	217.095559
867	217.093499
868	217.0827816
869	217.0802858
870	217.0792558
871	217.0615599
872	217.0517166
873	217.0514678
874	217.0426724
875	217.02781
876	217.0265184
877	217.0254317
878	217.0144305
879	217.0030019
880	217.0017572
881	217.0005561
882	216.9980615
883	216.9963309
884	216.9860853
885	216.983369
886	216.9816884
887	216.9807954
888	216.9744886
889	216.9654592
890	216.9630294
891	216.9617156
892	216.9516256
893	216.9505363
894	216.9500043
895	216.9381877
896	216.889689
897	216.8821952
898	216.8818704
899	216.8777453
900	216.8757383
901	216.8747417
902	216.8653453
903	216.8647379
904	216.8618874
905	216.8610026
906	216.7136845
907	216.5562965
908	216.5527459
909	216.5458338
910	216.5363629
911	216.5336502
912	216.5226327
913	216.5108917
914	216.5048518
915	216.4985681
916	216.4971349
917	216.495723
918	216.4866894
919	216.4317752
920	216.4304821
921	216.4297077
922	216.4273847
923	216.4239491
924	216.4214804
925	216.4097171
926	216.384063
927	216.3784366
928	216.3511921
929	216.3506795
930	216.3495358
931	216.3480426
932	216.3469933
933	216.3417616
934	216.3407475
935	216.3369612
936	216.3361514
937	216.3335682
938	216.3327468
939	216.3302533
940	216.3270422
941	216.3031634
942	216.2947515
943	216.2933553
944	216.2923648
945	216.2880278
946	216.2861358
947	216.2833129
948	216.2780916
949	216.2773675
950	216.2672513
951	216.2655938
952	216.2614286
953	216.2605691
954	216.2597535
955	216.2570458
956	216.2455324
957	216.2436841
958	216.2425451
959	216.2403778
960	216.2355242
961	216.2187684
962	216.2180069
963	216.2156572
964	216.2103155
965	216.2074521
966	216.2058175
967	216.1976437
968	216.1969196
969	216.1911237
970	216.1901968
971	216.187877
972	216.1862394
973	216.1853717
974	216.1821553
975	216.1806449
976	216.1789291
977	216.176459
978	216.1678198
979	216.1607635
980	216.1535322
981	216.1492855
982	216.1480913
983	216.1407934
984	216.1396781
985	216.1382587
986	216.1374045
987	216.1367324
988	216.1335845
989	216.1291066
990	216.1221432
991	216.1217837
992	216.1117748
993	215.9954178
994	215.9710872
995	215.9702621
996	215.9674352
997	215.9073057
998	215.9017279
999	215.8968509
